doc_id,title,doc_type,version,effective_date,expiry_date,store_scope,risk_level,source_section,keywords,content
return-05,商品退换货服务管理规则·第五章 特殊场景与风险防控,售后规则,V1.1,2026-07-15,2027-07-14,ALL,high,《门店运营管理手册》第四篇·售后服务管理·第五章 特殊场景与风险防控,退换货时效 质量判定 非质量退换 特价商品 恶意退换 客诉处理 全渠道退换 凭证丢失 责任界定 第五章 特殊场景与风险防控,"1. **超时效退换**：超出退换时效的，原则上不予办理；若顾客态度强硬且商品完好未穿着，店长可审批换货一次，不得办理退货退款。
2. **已剪吊牌/轻微穿着痕迹**：商品吊牌剪掉但无穿着痕迹，可收取商品原价5%的包装服务费后办理换货；有明显穿着、洗涤痕迹的，一律不予退换。
3. **恶意退换防控**
    - 同一顾客30天内退换货超过3次、或存在明显穿着后退货、疑似调包商品的，门店可拒绝办理并上报区域运营部，纳入异常退换复核名单，并按照消费者权益和个人信息保护要求进行审核。
    - 退换货时需核对商品编码、洗水标、防伪标识，确认是本店售出商品，防止顾客调包假货、旧货。
4. **异地跨店退换**：直营门店支持全国跨店换货，退货需回原购买门店办理；加盟门店暂不支持跨店退换。
5. **购物凭证丢失处理**
    - 顾客丢失小票/支付记录的，可通过会员手机号、支付账户查询消费记录，核实后可按规则办理退换。
    - 无法核实购买记录、无法确认是本店售出的商品，门店有权拒绝退换。
6. **导购责任界定**
    - 结账前导购未告知「特价不退不换」「贴身商品不退换」规则，导致顾客投诉的，由门店承担退换责任，由门店复盘告知与流程责任，并按依法生效的内部制度处理。
    - 导购错误推荐尺码、错误告知洗涤方式导致商品损坏的，门店可酌情为顾客换货，由门店核查责任；涉及赔偿的，按法律规定及依法生效的内部制度处理。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
return-06,商品退换货服务管理规则·第六章 服务红线,售后规则,V1.1,2026-07-15,2027-07-14,ALL,high,《门店运营管理手册》第四篇·售后服务管理·第六章 服务红线,退换货时效 质量判定 非质量退换 特价商品 恶意退换 客诉处理 全渠道退换 凭证丢失 责任界定 第六章 服务红线,"1. 严禁对顾客说“退不了”“这是公司规定没办法”“你自己看小票”等生硬推诿话术。
2. 严禁与顾客争执、指责顾客“你自己穿坏的”“你买的时候怎么不看好”。
3. 严禁私自答应顾客“没关系，你穿了也能退”“我私下给你换”，违规造成的由门店核查责任；涉及赔偿的，按法律规定及依法生效的内部制度处理。
4. 严禁在未核实情况时，直接对顾客说「这不是质量问题」「是你自己洗坏的」，需先核对商品、了解穿着与洗涤情况，再客观判定。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
return-07,商品退换货服务管理规则·第七章 常见争议量化判定标准,售后规则,V1.1,2026-07-15,2027-07-14,ALL,high,《门店运营管理手册》第四篇·售后服务管理·第七章 常见争议量化判定标准,退换货时效 质量判定 非质量退换 特价商品 恶意退换 客诉处理 全渠道退换 凭证丢失 责任界定 第七章 常见争议量化判定标准,"1. **色差问题判定**
    - 因拍摄光线、显示器差异导致的轻微色差，不属于质量问题，不予退换；导购需提前告知「实物与图片存在轻微色差，以店内实物为准」。
    - 同一件商品存在明显左右色差、同批次颜色严重偏差，属于出厂质量问题，支持无理由退换。
2. **起球问题判定**
    - 羊毛、针织、毛呢类面料正常穿着后，腋下、袖口、背包摩擦部位轻微起球，属于面料正常特性，不属于质量问题，门店可免费提供毛球修剪服务。
    - 非摩擦部位大面积起球、穿着3天内出现严重起球，判定为质量问题，支持退换。
3. **洗涤损坏判定**
    - 未按洗水标要求洗涤（如热水洗、干洗、漂白、暴晒、机洗暴力甩干）导致的缩水、变形、褪色，属于顾客使用不当，不予退换。
    - 按洗水标常温手洗、悬挂阴干后，出现严重缩水（缩水率超5%）、大面积掉色，判定为质量问题，支持退换。
4. **异味问题判定**
    - 新衣服轻微面料味、包装味，通风1-2天可消散的，不属于质量问题；存在刺鼻化工异味、通风3天以上无法消散的，判定为质量问题。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
return-08,商品退换货服务管理规则·第八章 全渠道订单退换规则,售后规则,V1.1,2026-07-15,2027-07-14,ALL,high,《门店运营管理手册》第四篇·售后服务管理·第八章 全渠道订单退换规则,退换货时效 质量判定 非质量退换 特价商品 恶意退换 客诉处理 全渠道退换 凭证丢失 责任界定 第八章 全渠道订单退换规则,"1. 品牌小程序、官方直播间等自有线上渠道下单、门店自提的订单，退换货规则与线下门店一致，需凭订单核销记录办理。
2. 线上发货订单如需线下退换，仅支持换货服务，退货需联系线上客服原路退回；线下门店不直接办理线上订单现金退款。
3. 第三方平台（抖音、美团、大众点评等）团购核销订单，非质量问题不予退换；质量问题由门店协调平台客服统一处理。

---

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
sop-01,新人导购接待服务标准SOP·第一章 总则,销售SOP,V1.1,2026-07-15,2027-07-14,ALL,low,《门店运营管理手册》第二篇·服务规范管理·第一章 总则,迎宾接待 需求挖掘 试穿服务 异议处理 连带成交 送宾规范 特殊场景 仪容仪表 淡场管理 上岗考核 第一章 总则,"1. 为规范新人导购上岗服务动作，统一全店服务标准，提升顾客进店体验与成交转化率，结合一线销售实战沉淀的成交方法论制定本SOP。
2. 所有新入职导购必须通过本SOP培训考核后方可独立上岗，在岗导购需每月复训一次，确保服务动作不变形。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
sop-02,新人导购接待服务标准SOP·第二章 全流程接待标准SOP,销售SOP,V1.1,2026-07-15,2027-07-14,ALL,low,《门店运营管理手册》第二篇·服务规范管理·第二章 全流程接待标准SOP,迎宾接待 需求挖掘 试穿服务 异议处理 连带成交 送宾规范 特殊场景 仪容仪表 淡场管理 上岗考核 第二章 全流程接待标准SOP 面试 正式场景 推荐套装,"#### 2.1 迎宾破冰（顾客进店0-30秒）
- **动作标准**：顾客距离门店门口3米时，停下手中工作，面带微笑，目光注视顾客；顾客踏入门店时，主动问候，保持1米安全距离，不紧跟、不围堵。
- **标准话术**：“您好，欢迎光临XX品牌，随便看，有喜欢的可以叫我。”
- **禁语**：“喜欢可以试试”“想买点什么”“今天有活动”等压迫式开场。
- **实战要点**：顾客进店后给30秒自由浏览时间，通过观察顾客目光停留区域、穿着风格，初步判断需求，不贸然上前推销。

#### 2.2 需求探寻（顾客浏览30秒后）
- **动作标准**：顾客在某件商品前停留超过5秒、伸手触摸商品时，主动上前；保持侧身站立，不直面顾客造成压迫。
- **标准话术（三选一）**：
  ① “这款是我们今年的新款，您是平时穿还是上班穿呀？”
  ② “您眼光真好，这款卖得特别好，您平时穿什么码数，我可以拿给您试试。”
  ③ “您是想搭裤子还是搭裙子？我可以给您推荐几款适配的。”
- **实战要点**：通过“场景+身形+风格”三个维度提问，快速锁定顾客需求，不要连续追问，避免查户口式提问。

#### 2.3 商品推荐（需求明确后）
- **动作标准**：根据顾客身形、需求精准拿款，一次最多拿3件，同时拿对顾客对应的尺码；推荐时双手递衣，手指不遮挡商品图案、logo。
- **推荐逻辑**：严格遵循“卖点+痛点+场景”结构，不讲面料参数，讲顾客能获得的好处（比如不说“液氨免烫面料”，说“洗完挂起来就平整，不用熨，上班省时间”）。
- **实战要求**：推荐上衣必须同步搭配好下装，推荐外套同步搭配好内搭，成套推荐，提升试穿体验与连带率。
- **禁语**：“这件特别显瘦”“你穿肯定好看”等空泛夸赞，必须结合顾客具体特点说明。

#### 2.4 试穿服务（顾客同意试穿后）
- **试前准备**：提前解开商品扣子、拉链，整理平整，引导顾客到试衣间；试衣间需提前确认干净、无杂物、拖鞋整洁。
- **试中服务**：顾客进入试衣间后，在门外3米处等候，10秒内应答顾客呼唤；主动询问“尺码合适吗？要不要换大一码/小一码？”；顾客试穿出来，主动上前帮顾客整理领口、袖口、衣长。
- **评价话术**：不说“好看、显瘦”，说具体优点，比如“这个腰线刚好卡在您最细的位置，显得比例特别好”“这个裤型刚好把小腿线条修饰得很顺”。
- **实战要点**：顾客试穿第一件时，同步准备好第二件备选款、搭配款，顾客出来后顺势推荐，增加试穿件数。

#### 2.5 异议处理（顾客提出顾虑时）
- **处理原则**：先共情，再解答，不反驳、不争辩。
- **标准公式**：“我理解您的顾虑 + 客观解释 + 实证支撑”
  例：顾客说“白衬衫容易透”，回应：“我特别理解，很多顾客一开始都担心这个，不过这款做了双层防透工艺，您看（展示面料），穿肤色内衣完全没问题，我们很多老顾客都回购。”
- **禁语**：“不会啊”“怎么会呢”“您放心”等否定式、空泛安抚话术。

#### 2.6 成交与连带（顾客表达认可后）
- **成交引导**：顾客表现出满意（反复照镜子、询问价格、询问洗涤方式）时，顺势引导结账，比如“我帮您把这件包起来？”，不要等顾客主动说“买”。
- **连带推荐**：结账前必须做1次连带推荐，优先推荐同场景搭配款、配饰、基础款，比如“您拿的这件衬衫，搭配我们那条阔腿裤特别合适，今天活动一套买更划算，要不要一起带上？”。
- **连带被拒应对**：顾客拒绝连带时，不得纠缠，可轻描淡写收尾留后路，例如“没关系，您先拿这件穿，下次过来再搭也可以，我们新款更新很快”，避免引起反感。
- **结账服务**：告知顾客实付金额，核对商品件数，主动说明洗涤保养方式、退换货规则，确认顾客无疑问再结算。

#### 2.7 送宾与售后（顾客离店时）
- **动作标准**：顾客离店时，送至门店门口，面带微笑目送顾客离开。
- **标准话术**：“您慢走，衣服洗涤注意XX，有任何问题随时过来找我们，欢迎下次光临。”
- **增值动作**：引导顾客添加门店企业微信，告知后续上新、活动会通知；老顾客可备注身形、偏好，便于后续精准推荐。
- **禁语**：“慢走”“再见”等过于敷衍的表述。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
sop-03,新人导购接待服务标准SOP·第三章 新人服务红线,销售SOP,V1.1,2026-07-15,2027-07-14,ALL,low,《门店运营管理手册》第二篇·服务规范管理·第三章 新人服务红线,迎宾接待 需求挖掘 试穿服务 异议处理 连带成交 送宾规范 特殊场景 仪容仪表 淡场管理 上岗考核 第三章 新人服务红线,"1. 严禁紧跟顾客、全程尾随，顾客明确表示“我自己看”时，立即退后保持距离。
2. 严禁贬低顾客穿搭、身材，严禁以貌取人、区别对待顾客。
3. 严禁和顾客争执、顶嘴，即使顾客有误，也不得当面反驳。
4. 严禁私自向顾客承诺退换、折扣、礼品等超出权限的内容。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
sop-04,新人导购接待服务标准SOP·第四章 上岗考核,销售SOP,V1.1,2026-07-15,2027-07-14,ALL,low,《门店运营管理手册》第二篇·服务规范管理·第四章 上岗考核,迎宾接待 需求挖掘 试穿服务 异议处理 连带成交 送宾规范 特殊场景 仪容仪表 淡场管理 上岗考核 第四章 上岗考核,"新人入职7天内完成理论+实操考核，总分100分，80分以上为合格，不合格者延长带教期，二次考核仍不通过予以淘汰。分项占比：
- 仪容仪表与服务礼仪：10分
- 接待流程完整性（迎宾-探需-推荐-试穿-成交-送宾）：30分
- 商品卖点讲解准确度（卖点+痛点+场景逻辑）：25分
- 常见异议处理（透、皱、起球、价格贵）：20分
- 连带推荐意识与话术：15分

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
sop-05,新人导购接待服务标准SOP·第五章 特殊场景接待规范,销售SOP,V1.1,2026-07-15,2027-07-14,ALL,low,《门店运营管理手册》第二篇·服务规范管理·第五章 特殊场景接待规范,迎宾接待 需求挖掘 试穿服务 异议处理 连带成交 送宾规范 特殊场景 仪容仪表 淡场管理 上岗考核 第五章 特殊场景接待规范,"1. **多人同行接待（闺蜜/情侣/家庭）**
    - 快速识别决策人（通常是提问最多、拿主意的人），重点针对决策人讲解，同时兼顾同行者感受，适当征询同行意见。
    - 顾客试穿时，对同行者说「您觉得这款怎么样？我觉得很衬她气质」，争取同行者认可，加快决策效率。
2. **带儿童/孕妇/老年顾客**
    - 带儿童顾客：主动提供休息座椅、饮用水，提醒顾客看好孩子，避免孩子拉扯商品、碰倒货架。
    - 孕妇/老年顾客：主动搀扶、提供座位，推荐宽松舒适、穿脱方便的款式，试穿时主动帮忙整理，避免顾客弯腰费力。
3. **旺场高峰接待**
    - 遵循「接一、待二、招呼三」原则：接待第一位顾客时，回应第二位顾客的提问，同时向第三位顾客点头示意，说「您稍等一下，我马上过来」。
    - 旺场时店长负责机动补位、处理疑难问题，导购不得扎堆接待，避免顾客无人理会。
4. **退换货顾客到店**
    - 第一时间接手，不推诿、不甩脸，引导至休息区沟通，避免在卖场大声争执影响其他顾客。
    - 新人无权直接判定结果，第一时间呼叫店长处理，不得私自答应退换条件。
5. **同行竞品/探店人员**
    - 保持正常服务态度，不驱赶、不抵触；对方询问内部信息（销量、进货价、员工薪酬）时，礼貌回应「不好意思，这个我不太清楚，您可以看一下我们的款式」。
    - 对方拍照、录视频时，礼貌告知「不好意思，店内不允许拍照哦，感谢理解」。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
sop-06,新人导购接待服务标准SOP·第六章 日常在岗工作标准,销售SOP,V1.1,2026-07-15,2027-07-14,ALL,low,《门店运营管理手册》第二篇·服务规范管理·第六章 日常在岗工作标准,迎宾接待 需求挖掘 试穿服务 异议处理 连带成交 送宾规范 特殊场景 仪容仪表 淡场管理 上岗考核 第六章 日常在岗工作标准,"1. **仪容仪表标准**
    - 统一穿着工服、佩戴工牌，工服整洁无褶皱；长发束起，不戴夸张饰品，妆容清淡得体。
    - 保持手部干净，指甲修剪整齐，不涂夸张指甲油；避免浓重香水味，以免影响顾客对面料气味的判断。
2. **淡场工作要求**
    - 无顾客时，不得扎堆聊天、玩手机；需整理货架、恢复陈列、补充价签、熟悉新款卖点。
    - 每日淡场时段进行模拟演练：两人一组，分别扮演顾客和导购，练习异议处理、连带推荐话术。
3. **交接班规范**
    - 交接班需核对：待处理客诉、预留商品、礼品库存、注意事项（如VIP顾客到店提醒）。
    - 交接清楚后方可离岗，不得出现顾客找不到人、问题无人跟进的情况。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
promo-02-v10,门店促销活动执行管理规则·第二章 促销活动分类与执行标准,活动规则,V1.0,2025-07-15,2026-07-14,ALL,medium,《门店运营管理手册》第三篇·营销活动管理·第二章 促销活动分类与执行标准,促销执行 折扣权限 价签规范 连带销售 客诉防控 禁止承诺 预售核销 员工内购 价保补差 活动复盘 第二章 促销活动分类与执行标准,全场折扣、满减、会员活动按总部方案执行；导购不得擅自调整价格。活动规则以门店公示和收银系统为准。
return-02-v10,商品退换货服务管理规则·第二章 退换货基本前提,售后规则,V1.0,2025-07-15,2026-07-14,ALL,high,《门店运营管理手册》第四篇·售后服务管理·第二章 退换货基本前提,退换货时效 质量判定 非质量退换 特价商品 恶意退换 客诉处理 全渠道退换 凭证丢失 责任界定 第二章 退换货基本前提,正价商品在商品完好、凭证齐全的前提下，购买后15天内可申请退换；特价商品按活动公示执行。
sop-02-v10,新人导购接待服务标准SOP·第二章 全流程接待标准SOP,销售SOP,V1.0,2025-07-15,2026-07-14,ALL,low,《门店运营管理手册》第二篇·服务规范管理·第二章 全流程接待标准SOP,迎宾接待 需求挖掘 试穿服务 异议处理 连带成交 送宾规范 特殊场景 仪容仪表 淡场管理 上岗考核 第二章 全流程接待标准SOP,新人接待流程包括迎宾、需求询问、商品推荐、试穿服务、异议处理、结账与送宾。
