product_code,product_name,category,fabric,fit,target_customer,customer_tags,aliases,selling_points,styling_tips,size_notes,common_objection,suggested_script,forbidden_claims,recommendation_codes,version,effective_date,expiry_date,store_scope
FS-CS-001,经典修身免烫白衬衫,衬衫,65%新疆长绒棉+30%聚酯纤维+5%氨纶，液氨免烫后整理工艺,正肩修身H型，微收腰剪裁，衣长盖过腰线2cm,22-45岁职场女性，覆盖行政、金融、服务岗从业者，适配匀称、微胖身形，有日常通勤正装需求的人群,职场女性|微胖友好|通勤正装|经典百搭|行政金融服务岗,白衬衫|白衬杉|免烫衬衫|经典白衬衫|修身衬衫,液氨免烫工艺，洗完悬挂晾干即可平整，领口袖口不易变形；微收腰不紧绷，藏住腰腹小赘肉；面料带微弹，抬手弯腰无束缚；领口做防脏固色处理，久穿不易发黄卷边。,通勤配阔腿西装裤+尖头低跟鞋，外搭小西装；休闲风解开2颗扣子配高腰牛仔裤+小白鞋；正式场合配西装套裙+珍珠耳钉。,正码，按日常码数选择即可；胸围偏大或腰腹赘肉较多的顾客，建议选大一码；160cm以下身高选常规码，衣长适配度刚好。,白衬衫会不会透？洗了会不会皱？领口容易发黄吗？,“这款做了免烫整理，洗后悬挂晾干更容易保持平整；面料带微弹，通勤活动更轻松。白色款建议搭配肤色内衣，领口和袖口按洗标及时清洁会更耐穿。”,不得承诺“永远不皱”“穿多久都不发黄”“深色内衣也完全不透”。,FS-KZ-001|FS-WT-001|FS-KZ-002,V1.1,2026-07-15,2027-07-14,ALL
FS-KZ-001,高腰垂感阔腿西装裤,裤装,78%聚酯纤维+20%粘纤+2%氨纶，定染斜纹西装面料,高腰阔腿A型，九分裤长，腰头内置收腹暗扣,20-40岁女性，梨形身材、假胯宽、大腿粗、小个子群体，兼顾通勤与休闲场景,职场女性|梨形身材|假胯宽|小个子友好|通勤休闲,阔腿裤|梨形神裤|高腰阔腿|垂感裤|西装阔腿裤,3cm收腹高腰头，精准卡在腰线最细处，拉高比例藏住小肚腩；垂坠感极强，不易出死褶，走路不贴腿；九分长度露出脚踝最细处，小个子也能驾驭；斜纹面料耐磨抗造，不易起球勾丝。,通勤配修身衬衫+小皮鞋；休闲配短款T恤+帆布鞋；秋冬配针织衫+短靴，外搭大衣。,版型偏宽松，正码选择即可；腰腹有肉按腰围选，腿粗胯宽按臀围选；155cm以下建议选XS码。,会不会显胯宽？小个子穿会不会压个子？坐久了会不会皱？,“这款从胯部向下自然放量，能弱化腿部和胯部线条；九分长度露出脚踝，整体更利落。面料垂感较好，久坐后的轻微褶皱可以整理后恢复。”,不得承诺“穿上立刻瘦10斤”“所有身材穿都显瘦”“完全不会皱”。,FS-CS-001|FS-ZS-001|FS-WT-001,V1.1,2026-07-15,2027-07-14,ALL
FS-WT-001,羊毛混纺修身通勤小西装,西装,50%精纺羊毛+45%聚酯纤维+5%氨纶，薄款精纺羊毛面料,修身X型，收腰剪裁，正肩袖，衣长至腰线以下5cm,23-45岁职场女性，管理层、销售岗等需正式着装的上班族，适配匀称、微胖身形,职场女性|微胖友好|正式商务|轻熟风|管理销售岗,小西装|通勤西装|羊毛西装|修身西装|经典黑西装,精纺细羊毛，挺括不硬，保暖透气，春秋冬三季可穿；收腰剪裁精准，显腰细不壮硕；正肩设计修饰溜肩窄肩，肩线利落显精神；内里全包边工艺，耐穿不变形。,正式场合内搭衬衫+西装裤/套裙；休闲内搭T恤+牛仔裤；秋冬内搭高领针织衫+烟管裤。,版型偏修身，按日常码数选择；肩宽、胸围偏大建议选大一码；偏好宽松效果也可选大一码。,羊毛会不会扎人？会不会容易起球？会不会显老气？,“这款是精纺羊毛混纺，挺括但不会过分硬；收腰和正肩设计让通勤造型更利落。羊毛类面料需减少与粗糙包带反复摩擦，并按洗标护理。”,不得承诺“百分之百不起球”“纯羊毛材质”“永远不变形”。,FS-CS-001|FS-KZ-002|FS-DD-001,V1.1,2026-07-15,2027-07-14,ALL
FS-TX-001,新疆长绒棉圆领基础T恤（男女同款）,T恤,100%新疆长绒棉，230g重磅平纹布,常规直筒版，正肩，衣长盖过腰线3cm,18-50岁全年龄段，男女通用，日常休闲、内搭打底皆可，适配所有身形,全年龄段|男女同款|日常休闲|内搭打底|经典百搭,白T|基础T|新疆棉T恤|销冠白T|圆领T恤,230g重磅棉，厚实不透，不会软塌贴身；新疆长绒棉亲肤透气，多次洗涤不易发硬；二本针加固领口，久穿不变形不松垮；基础款百搭，单穿内搭都适配。,单穿配牛仔裤/休闲裤+小白鞋；内搭西装、风衣、开衫；下装搭配半身裙也可。,正码，男女同款；女生偏好宽松选大一码，男生按正常码选；175cm以上男生建议选大一码。,会不会缩水？白色会不会透？领口会不会越穿越大？,“这款使用230g重磅长绒棉，单穿更有挺度，白色款搭配浅色内衣更稳妥；领口做了加固，日常按洗标冷水洗涤有助于保持版型。”,不得承诺“绝对不缩水”“穿多久领口都不变形”“任何内衣都不透”。,FS-NZ-001|FS-WT-002|FS-ZS-001,V1.1,2026-07-15,2027-07-14,ALL
FS-NZ-001,高腰显瘦直筒牛仔裤,牛仔裤,98%棉+2%氨纶，软牛仔面料，酵素水洗固色,高腰直筒型，九分裤长，腰头带微弹力,20-40岁女性，梨形身材、腿型不直、小腿粗、腰腹有肉的人群，日常休闲穿搭,女性|梨形身材|腿型不直|腰腹友好|日常休闲,牛仔裤|牛子裤|直筒牛仔|高腰牛仔|基础牛仔裤,高腰设计拉高腰线，藏住腰腹赘肉；直筒裤型修饰O/X型腿，遮盖小腿肌肉；软牛仔面料不硬不硌，穿着舒适不卡裆；酵素水洗工艺，颜色自然不易掉色。,春夏配T恤/衬衫+小白鞋；秋冬配毛衣/卫衣+短靴，外搭大衣/风衣。,版型偏正，按日常牛仔裤码数选择；腰腹有肉可选大一码；小个子建议选八分款。,会不会掉色？会不会显胯宽？面料会不会硬？,“这款是带微弹的软牛仔，直筒裤型能修饰腿部线条，日常活动更舒适。深色牛仔首次洗涤建议单独清洗并按洗标护理，轻微浮色属于常见现象。”,不得承诺“完全不掉色”“穿上腿立刻变直”“永远不发硬”。,FS-TX-001|FS-ZS-001|FS-WT-002,V1.1,2026-07-15,2027-07-14,ALL
FS-ZS-001,V领显瘦薄款针织开衫,针织,60%粘纤+30%锦纶+10%聚酯纤维，冰丝针织纱线,修身H型，V领，长袖，衣长齐腰线,20-45岁女性，办公室上班族、怕晒人群，春秋外搭、夏季空调房穿着,职场女性|办公室外搭|怕晒人群|春夏秋|轻熟百搭,冰丝开衫|针织开衫|V领开衫|薄开衫|防晒外搭,冰丝针织透气凉爽，不闷汗，夏季可穿；V领设计拉长脖颈线条，显脸小；修身不紧绷，外搭不臃肿；抗皱易打理，放包里取出无明显褶皱。,办公室搭吊带裙/连衣裙；通勤搭衬衫+西装裤；日常搭T恤+牛仔裤；户外当防晒外搭配吊带+阔腿裤。,版型偏修身，按日常码数选择；肩宽或偏好宽松选大一码。,会不会起球？会不会勾丝？夏天穿会不会热？,“这款冰丝感针织比较轻薄，适合空调房和春夏外搭；V领能拉长颈部线条。针织面料需避免与金属饰品和粗糙包带反复摩擦。”,不得承诺“绝对不起球”“完全不勾丝”“夏天穿和没穿一样凉”。,FS-LQ-002|FS-KZ-001|FS-TX-001,V1.1,2026-07-15,2027-07-14,ALL
FS-LQ-001,法式V领碎花雪纺连衣裙,连衣裙,外层100%高密雪纺，内衬棉混纺面料,高腰A字版，V领，中长款至小腿中部，收腰设计,20-35岁女性，约会、逛街、轻通勤场景，梨形身材、腰腹有肉的人群,年轻女性|梨形身材|腰腹友好|约会轻通勤|法式温柔,碎花裙|雪纺裙|雪仿连衣裙|法式裙|橱窗连衣裙,高腰收腰掐出腰线，优化身材比例；A字裙摆藏住腰腹与大腿赘肉；高密雪纺垂感好，飘逸不贴腿，夏季透气；带内衬防走光不透色。,日常配小白鞋/帆布鞋；约会配玛丽珍鞋+小挎包；通勤外搭小西装+低跟鞋。,版型偏正，按日常码数选择；胸围偏大建议选大一码；155cm以下建议选短款。,雪纺会不会廉价？会不会显胖？花色会不会显老？,“这款采用高腰A字版型，裙摆有空间，适合约会和轻通勤；高密雪纺有内衬，穿着时更安心。花色和显肤效果建议结合本人肤色现场试穿。”,不得承诺“所有人穿都显白”“穿上立刻瘦一圈”“完全不会皱”。,FS-WT-001|FS-ZS-001|FS-QZ-001,V1.1,2026-07-15,2027-07-14,ALL
FS-DY-001,中长款双面呢羊毛大衣,大衣,70%羊毛+30%聚酯纤维，双面呢缝制工艺，无内衬,H型直筒版，翻领，中长款至膝盖上方3cm,25-50岁女性，职场、日常皆可，适配各种身形，秋冬刚需款,职场女性|各种身形|秋冬刚需|通勤日常|经典百搭,羊毛大衣|双面呢|羊戎大衣|毛呢大衣|中长大衣,双面呢工艺正反平整，无厚内衬，轻盈不压身；羊毛含量高，保暖性优于普通大衣；H型版型不挑身材，藏肉显瘦不压个子；经典廓形不过时，可穿多年。,通勤内搭针织衫+西装裤+短靴；日常内搭连衣裙+长靴；休闲内搭卫衣+牛仔裤+小白鞋。,版型偏宽松，按日常码数选择；偏好修身效果可选小一码；高个子可选大一码保证衣长。,会不会起球？会不会掉毛？会不会很沉压肩膀？,“这款是70%羊毛双面呢，版型轻盈、层次简洁，适合秋冬通勤。羊毛面料在高摩擦部位可能出现轻微起球或浮毛，建议按护理说明维护。”,不得承诺“百分之百纯羊毛”“完全不起球不掉毛”“零下十几度也能穿”。,FS-DD-001|FS-KZ-002|FS-LQ-002,V1.1,2026-07-15,2027-07-14,ALL
FS-DD-001,加绒加厚半高领打底衫,打底衫,面层95%棉+5%氨纶，内层复合薄绒（聚酯纤维）,修身贴合版，半高领，长袖，衣长盖过腰线,20-50岁女性，秋冬内搭，怕冷、颈部怕凉的人群，适配各种身形,女性|怕冷人群|各种身形|秋冬内搭|基础百搭,打底衫|打低衫|半高领|加绒打底|保暖内搭,内层复合薄绒，亲肤保暖不臃肿，穿上不显壮；半高领护住颈部，又不会堆领显脸短；高弹力面料，贴身不紧绷；不易起球掉色，百搭所有外套。,外搭大衣、羽绒服、小西装、卫衣均可；下装配牛仔裤、西装裤、半身裙皆适配。,版型偏修身，弹力大，按日常码数选择；体重130斤以上建议选大一码。,会不会掉绒？会不会起静电？洗了会不会变形？,“这款内层复合薄绒，适合秋冬内搭，半高领兼顾保暖和叠穿。不同环境的静电和起球表现会有差异，建议减少摩擦并按洗标清洗。”,不得承诺“完全不掉绒”“绝对不起静电”“穿多久都不变形”。,FS-DY-001|FS-WT-001|FS-YR-001,V1.1,2026-07-15,2027-07-14,ALL
FS-KZ-002,高腰九分烟管西装裤,裤装,75%聚酯纤维+23%粘纤+2%氨纶，哑光西装面料,高腰烟管型，上宽下窄，九分裤长，前中缝压线,22-45岁职场女性，小腿粗、腿型不直、梨形身材，有通勤正装需求,职场女性|梨形身材|腿型不直|通勤正装|利落轻熟,烟管裤|黑裤子|西装裤|九分裤|职场裤,高腰提腰线，烟管裤型上宽下窄，藏住大腿肉、修饰小腿线条；中缝压线设计，显腿直更利落；哑光面料高级感强，不易皱；九分长度露脚踝，显高不压个子。,通勤配衬衫+小西装+低跟鞋；休闲配针织衫+小白鞋；秋冬配短靴+大衣。,版型偏正，按腰围选码；臀围偏大建议选大一码；小个子选XS码即可。,会不会显屁股大？会不会卡裆？坐久了会不会皱？,“这款烟管裤上宽下窄，中缝线条让腿部视觉更利落；九分长度适合通勤搭配。尺码建议以腰围和臀围为主，并通过试穿确认裆部活动量。”,不得承诺“穿上腿立刻变直”“完全不会皱”“所有身材穿都显瘦”。,FS-CS-001|FS-WT-001|FS-DD-001,V1.1,2026-07-15,2027-07-14,ALL
FS-WT-002,中长款英伦风双排扣风衣,风衣,65%棉+35%聚酯纤维，防风斜纹面料,H型直筒版，翻领双排扣，中长款至小腿中部，配同面料腰带,23-45岁女性，春秋外套，通勤、日常皆可，适配各种身形,职场女性|各种身形|春秋通勤|经典英伦|百搭外套,风衣|英伦风衣|双排扣风衣|长风衣|新款风衣,经典英伦廓形，不过时百搭；腰带可系可散，系上显腰细，散开随性休闲；斜纹面料防风耐脏，不易皱好打理；中长款遮肉显瘦，不压个子。,通勤内搭衬衫+西装裤+皮鞋；日常内搭T恤+牛仔裤+小白鞋；温柔风内搭连衣裙+单鞋。,版型偏宽松，按日常码数选择；偏好修身可选小一码；155cm以下建议选短款。,会不会压个子？面料会不会硬？会不会容易脏？,“这款是经典双排扣风衣，腰带可根据场景系紧或自然垂放；斜纹面料挺括且便于日常打理。中长款是否压身高建议结合鞋型和现场试穿判断。”,不得承诺“小个子穿也显高10公分”“完全防水”“永远不过时”。,FS-TX-001|FS-NZ-001|FS-LQ-001,V1.1,2026-07-15,2027-07-14,ALL
FS-LQ-002,缎面吊带内搭连衣裙,连衣裙,97%聚酯纤维+3%氨纶，高密仿真丝缎面,直筒H型，细肩带可调节，中长款至脚踝上方5cm,20-40岁女性，内搭外套、约会、聚会穿着，适配匀称、偏瘦身形,年轻女性|匀称偏瘦|约会聚会|内搭叠穿|轻熟优雅,缎面裙|锻面裙|吊带裙|内搭裙|缎面连衣裙,缎面光泽感强，显高级，贴肤丝滑；直筒版型不贴身，藏住腰腹小赘肉；长度适中，单穿优雅、内搭百搭；可调节肩带，适配不同身高。,春秋外搭针织开衫/小西装；夏天单穿配凉鞋+珍珠配饰；秋冬外搭大衣+短靴。,版型偏宽松，按日常码数选择；胸围偏小可选小一码；小个子建议选短款。,会不会显廉价？会不会贴肚子显胖？会不会勾丝？,“这款高密缎面有柔和光泽，直筒版型适合叠穿；肩带可调节，便于匹配不同身高。缎面仍需避开尖锐物和粗糙表面，降低勾丝风险。”,不得承诺“和真丝一模一样”“完全不会勾丝”“穿上特别显瘦”。,FS-ZS-001|FS-WT-001|FS-DY-001,V1.1,2026-07-15,2027-07-14,ALL
FS-WY-001,中长款连帽休闲卫衣裙,卫衣裙,80%棉+20%聚酯纤维，毛圈卫衣面料,宽松直筒版，连帽，中长款至大腿中部,18-35岁女性，日常休闲、逛街、带娃场景，偏好宽松舒适风格的人群,年轻女性|宽松友好|日常带娃|懒人穿搭|休闲减龄,卫衣裙|卫群|连帽裙|休闲裙|中长卫衣,毛圈面料亲肤透气，不闷汗；宽松版型不挑身材，藏肉显瘦，懒人穿搭；连帽设计减龄，休闲感强；长度盖过臀部，搭配打底裤也合适。,日常配小白鞋/老爹鞋；春秋单穿，冬季内搭打底裤+羽绒服/大衣；搭配棒球帽增强休闲感。,版型偏宽松，按日常码数选择；偏好oversize可选大一码；小个子建议选小一码。,会不会显臃肿？会不会起球？小个子穿会不会像偷穿大人衣服？,“这款宽松但保留了直筒线条，适合日常休闲和带娃场景；毛圈面料比厚加绒更透气。小个子可优先试小一码，确认衣长和肩线。”,不得承诺“绝对不起球”“所有身材穿都好看”“穿多久都不变形”。,FS-DD-001|FS-YR-001|FS-NZ-001,V1.1,2026-07-15,2027-07-14,ALL
FS-QZ-001,高腰A字PU皮半身裙,半身裙,优质PU皮面料，内衬聚酯纤维,高腰A字版，短裙，长度至大腿中部,20-35岁女性，轻熟风、甜酷风，约会、逛街、轻通勤场景，梨形身材适配,年轻女性|梨形身材|约会轻通勤|甜酷风|轻熟风,PU裙|皮尤半身裙|皮裙|A字皮裙|甜酷半裙,高腰A字版型显腰细，藏住胯宽与大腿肉；PU皮质感挺括有型，不容易皱；风格百搭，甜酷、轻熟都能驾驭；内衬光滑不粘腿，穿着舒适。,甜酷风配卫衣+马丁靴；轻熟风配针织衫+短靴；通勤配衬衫+小皮鞋。,版型偏正，按腰围选码；胯宽建议选大一码。,会不会掉皮？会不会显胯宽？会不会有味道？,“这款高腰A字版型能弱化胯部线条，适合甜酷和轻熟搭配；PU面料挺括易整理。新衣如有轻微材料气味可先通风，日常避免高温和折压。”,不得承诺“永远不掉皮开裂”“和真皮质感一样”“完全没有味道”。,FS-ZS-001|FS-WY-001|FS-WT-001,V1.1,2026-07-15,2027-07-14,ALL
FS-YR-001,短款立领轻薄羽绒服,羽绒服,外层100%锦纶防泼水面料，填充物90%白鸭绒,修身直筒版，立领，短款至腰线以下5cm,22-45岁女性，秋冬内搭外穿皆可，小个子、偏好轻便保暖的人群,职场女性|小个子友好|秋冬保暖|旅行便携|轻量通勤,羽绒服|轻薄羽绒|短羽绒|立领羽绒|便携羽绒,90%白鸭绒填充，蓬松保暖，轻盈不压身；短款设计显高，拉高腰线不压个子；防泼水面料，应对小雨小雪；可收纳设计，折叠体积小，出差旅行便携。,内搭打底衫+高腰牛仔裤+短靴；可内搭在大衣里增强保暖性；配运动裤+运动鞋走休闲风。,版型偏修身，按日常码数选择；偏好宽松或内搭厚衣服选大一码。,会不会跑绒？会不会不够暖？会不会显胖？,“这款填充90%白鸭绒，短款设计便于通勤和旅行收纳；表层为防泼水面料，可应对短时小雨小雪。实际保暖体感受气温、风力和内搭影响。”,不得承诺“百分之百不跑绒”“零下十几度也能穿”“完全防水”。,FS-DD-001|FS-NZ-001|FS-KZ-002,V1.1,2026-07-15,2027-07-14,ALL
