question_id,category,subcategory,question,difficulty_tags
QB001,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,A102那个外套下雨能穿不？,商品简称+指代不明
QB002,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这款白衬衫会不会透啊？,
QB003,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,高腰阔腿裤偏大还是偏小？给120斤的顾客拿什么码？,
QB004,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,新疆棉那款T恤会不会缩水？,
QB005,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,羊毛大衣能不能机洗啊？,
QB006,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这两款西装长得差不多，贵的好在哪？,
QB007,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,碎花裙有几个颜色？哪个卖得最好？,
QB008,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,仓库里FS-KZ-001的M码还有货吗？放哪了？,
QB009,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这件PU裙掉皮吗？穿久了会不会裂？,
QB010,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,冰丝开衫夏天穿会不会热？,
QB011,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,白衬杉领口会不会发黄？,错别字：衫→杉
QB012,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这款牛子裤掉色严重不？,错别字+方言简称：牛仔裤
QB013,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这件羊毛大衣起球不，能水洗不？,同时问两个问题
QB014,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这个穿上是不是肯定显瘦？肚子肉全能遮住？,诱导绝对化效果承诺
QB015,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,那款烟管裤配什么上衣好看啊？,商品内部简称
QB016,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,双面呢大衣掉毛正常吗？,
QB017,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,羽绒服能不能用洗衣机甩干？,
QB018,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,同一款裤子，为什么黑色比蓝色紧一点？,
QB019,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,裤长太长了店里能改不？要钱不？,
QB020,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,白T恤沾了辣椒油怎么洗？能洗掉不？,
QB021,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,仓库里FS-WT-002的黑色款放哪个区？第几层？,
QB022,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,顾客面试穿，推荐哪套比较合适？,
QB023,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这件针织衫起球了，店里有毛球修剪器吗？,
QB024,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,同款衣服为什么线上比店里便宜？,
QB025,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这件有瑕疵能便宜点不？,
QB026,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,顾客要预留一件，最多能留几天？,
QB027,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,休身款衬衫比常规款小多少？,错别字：修→休
QB028,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,羊戎大衣掉毛正常吗？,错别字+俗称：羊绒
QB029,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,锻面裙勾丝了能修不？,错别字：缎→锻
QB030,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这款卫群有没有加绒的？,错别字：裙→群
QB031,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这款能从隔壁店调货不？要几天？运费谁出？,同时问三个问题
QB032,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,是不是穿上立马瘦一圈？胯宽全能盖住对吧？,诱导绝对化效果承诺
QB033,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,基础款黑裤子现在有活动吗？,商品内部简称
QB034,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,橱窗里摆的那件连衣裙有S码不？,指代不明+场景化指代
QB035,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,孕妇能穿这款牛仔裤吗？会不会勒肚子？,
QB036,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这件能不能放洗衣机甩干啊？会不会变形？,
QB037,一、商品问题（高频常规+隐性困难）,（二）细节工艺与辅料配件类,这条裙子有没有口袋啊？,
QB038,一、商品问题（高频常规+隐性困难）,（二）细节工艺与辅料配件类,拉链是隐形的吗？会不会卡？,
QB039,一、商品问题（高频常规+隐性困难）,（二）细节工艺与辅料配件类,扣子容易掉吗？有没有备用扣？,
QB040,一、商品问题（高频常规+隐性困难）,（二）细节工艺与辅料配件类,里面有没有内衬？会不会透内裤边？,
QB041,一、商品问题（高频常规+隐性困难）,（二）细节工艺与辅料配件类,毛领是真毛的吗？能不能拆下来？,
QB042,一、商品问题（高频常规+隐性困难）,（二）细节工艺与辅料配件类,帽子可以卸掉不？,
QB043,一、商品问题（高频常规+隐性困难）,（二）细节工艺与辅料配件类,腰带是送的还是要单独买？,
QB044,一、商品问题（高频常规+隐性困难）,（二）细节工艺与辅料配件类,领口会不会越穿越大？,
QB045,一、商品问题（高频常规+隐性困难）,（二）细节工艺与辅料配件类,口袋深不深？能不能放手机？,
QB046,一、商品问题（高频常规+隐性困难）,（二）细节工艺与辅料配件类,走线会不会容易开线？,
QB047,一、商品问题（高频常规+隐性困难）,（二）细节工艺与辅料配件类,是拉链款还是套头款？穿脱方便吗？,
QB048,一、商品问题（高频常规+隐性困难）,（二）细节工艺与辅料配件类,皮带孔够不够多？腰细会不会挂不住？,
QB049,一、商品问题（高频常规+隐性困难）,（二）细节工艺与辅料配件类,锻面裙的肩带能调长短不？,错别字+细节问题
QB050,一、商品问题（高频常规+隐性困难）,（二）细节工艺与辅料配件类,有备用扣吗，腰带是同面料的吗？,同时问两个问题
QB051,一、商品问题（高频常规+隐性困难）,（二）细节工艺与辅料配件类,A009那款的毛领能单独买吗？,商品简称+配件问题
QB052,一、商品问题（高频常规+隐性困难）,（三）颜色与肤色适配类,黄皮穿这个卡其色显黑吗？,
QB053,一、商品问题（高频常规+隐性困难）,（三）颜色与肤色适配类,哪个颜色卖得最好、最百搭？,
QB054,一、商品问题（高频常规+隐性困难）,（三）颜色与肤色适配类,黑色这款会不会特别粘毛？,
QB055,一、商品问题（高频常规+隐性困难）,（三）颜色与肤色适配类,这个粉色会不会显幼稚？,
QB056,一、商品问题（高频常规+隐性困难）,（三）颜色与肤色适配类,实物和图片色差大不大？,
QB057,一、商品问题（高频常规+隐性困难）,（三）颜色与肤色适配类,黄黑皮闭眼入的颜色是哪个？,
QB058,一、商品问题（高频常规+隐性困难）,（三）颜色与肤色适配类,白色款会不会很容易脏？,
QB059,一、商品问题（高频常规+隐性困难）,（三）颜色与肤色适配类,深灰色和藏青色哪个更显年轻？,
QB060,一、商品问题（高频常规+隐性困难）,（三）颜色与肤色适配类,雾霾蓝显白还是燕麦色显白？,
QB061,一、商品问题（高频常规+隐性困难）,（三）颜色与肤色适配类,穿这个颜色会不会显得没气色？,
QB062,一、商品问题（高频常规+隐性困难）,（三）颜色与肤色适配类,这个花色会不会显老气？,
QB063,一、商品问题（高频常规+隐性困难）,（三）颜色与肤色适配类,白衬杉和蓝衬衫哪个更耐脏？,错别字+对比问题
QB064,一、商品问题（高频常规+隐性困难）,（三）颜色与肤色适配类,两个颜色哪个更适合妈妈辈穿？,
QB065,一、商品问题（高频常规+隐性困难）,（三）颜色与肤色适配类,是不是肯定显白？黄黑皮也能穿对吧？,诱导绝对化承诺
QB066,一、商品问题（高频常规+隐性困难）,（四）身材细分与体感适配类,胸大穿这件会不会显壮？,
QB067,一、商品问题（高频常规+隐性困难）,（四）身材细分与体感适配类,溜肩穿这款西装好看吗？,
QB068,一、商品问题（高频常规+隐性困难）,（四）身材细分与体感适配类,抬胳膊的话衣摆会不会往上跑？,
QB069,一、商品问题（高频常规+隐性困难）,（四）身材细分与体感适配类,蹲下来会不会露腰啊？,
QB070,一、商品问题（高频常规+隐性困难）,（四）身材细分与体感适配类,牛仔裤裆部会不会卡？,
QB071,一、商品问题（高频常规+隐性困难）,（四）身材细分与体感适配类,羊毛的贴身穿会不会扎？,
QB072,一、商品问题（高频常规+隐性困难）,（四）身材细分与体感适配类,肩宽穿会不会显虎背熊腰？,
QB073,一、商品问题（高频常规+隐性困难）,（四）身材细分与体感适配类,苹果型身材穿能遮住肚子吗？,
QB074,一、商品问题（高频常规+隐性困难）,（四）身材细分与体感适配类,150小个子穿会不会太长？,
QB075,一、商品问题（高频常规+隐性困难）,（四）身材细分与体感适配类,胯宽穿会不会显屁股大？,
QB076,一、商品问题（高频常规+隐性困难）,（四）身材细分与体感适配类,后背肉多穿会不会显臃肿？,
QB077,一、商品问题（高频常规+隐性困难）,（四）身材细分与体感适配类,手臂粗穿短袖会不会显拜拜肉？,
QB078,一、商品问题（高频常规+隐性困难）,（四）身材细分与体感适配类,休身款会不会勒肚子？,错别字+体感问题
QB079,一、商品问题（高频常规+隐性困难）,（四）身材细分与体感适配类,孕妇穿会不会勒肚子？后期还能穿不？,同时问两个问题
QB080,一、商品问题（高频常规+隐性困难）,（四）身材细分与体感适配类,175高个子穿会不会短？露脚踝会不会奇怪？,
QB081,一、商品问题（高频常规+隐性困难）,（五）场景与季节适配类,参加婚礼穿这款合适吗？会不会太素？,
QB082,一、商品问题（高频常规+隐性困难）,（五）场景与季节适配类,南方冬天穿这件羽绒服够不够暖？,
QB083,一、商品问题（高频常规+隐性困难）,（五）场景与季节适配类,北方10月份穿这件风衣冷不冷？,
QB084,一、商品问题（高频常规+隐性困难）,（五）场景与季节适配类,哺乳期穿喂奶方便吗？,
QB085,一、商品问题（高频常规+隐性困难）,（五）场景与季节适配类,出差塞行李箱会不会皱得很厉害？,
QB086,一、商品问题（高频常规+隐性困难）,（五）场景与季节适配类,见家长穿会不会太成熟？,
QB087,一、商品问题（高频常规+隐性困难）,（五）场景与季节适配类,上班穿会不会太休闲？,
QB088,一、商品问题（高频常规+隐性困难）,（五）场景与季节适配类,这款防晒吗？夏天穿能挡太阳不？,
QB089,一、商品问题（高频常规+隐性困难）,（五）场景与季节适配类,爬山穿会不会闷汗？透气好不好？,
QB090,一、商品问题（高频常规+隐性困难）,（五）场景与季节适配类,过年穿红色会不会太夸张？,
QB091,一、商品问题（高频常规+隐性困难）,（五）场景与季节适配类,面试穿会不会太随意？够正式吗？,
QB092,一、商品问题（高频常规+隐性困难）,（五）场景与季节适配类,这款能穿到零下几度？会不会冻腿？,
QB093,一、商品问题（高频常规+隐性困难）,（五）场景与季节适配类,是不是一年四季都能穿？,诱导绝对化承诺
QB094,一、商品问题（高频常规+隐性困难）,（五）场景与季节适配类,那款防晒衣真的能防晒吗？会不会闷？,商品简称+两个问题
QB095,一、商品问题（高频常规+隐性困难）,（五）场景与季节适配类,下雨天穿会不会渗水？能当雨衣不？,
QB096,一、商品问题（高频常规+隐性困难）,（六）保养护理与污渍处理类,红酒洒上面了能洗掉不？,
QB097,一、商品问题（高频常规+隐性困难）,（六）保养护理与污渍处理类,口红印蹭到了怎么处理？,
QB098,一、商品问题（高频常规+隐性困难）,（六）保养护理与污渍处理类,羊毛大衣一年洗几次合适？,
QB099,一、商品问题（高频常规+隐性困难）,（六）保养护理与污渍处理类,能不能用挂烫机熨？温度调多少？,
QB100,一、商品问题（高频常规+隐性困难）,（六）保养护理与污渍处理类,能不能用漂白剂？,
QB101,一、商品问题（高频常规+隐性困难）,（六）保养护理与污渍处理类,白衬衫领口发黄了怎么洗回来？,
QB102,一、商品问题（高频常规+隐性困难）,（六）保养护理与污渍处理类,洗的时候能不能和其他衣服混洗？,
QB103,一、商品问题（高频常规+隐性困难）,（六）保养护理与污渍处理类,起球了用剪刀剪会不会坏？,
QB104,一、商品问题（高频常规+隐性困难）,（六）保养护理与污渍处理类,能不能用柔顺剂？会不会伤面料？,
QB105,一、商品问题（高频常规+隐性困难）,（六）保养护理与污渍处理类,淋雨了会不会有水印？,
QB106,一、商品问题（高频常规+隐性困难）,（六）保养护理与污渍处理类,皮裙脏了用什么擦？能水洗不？,
QB107,一、商品问题（高频常规+隐性困难）,（六）保养护理与污渍处理类,羽绒服机洗会不会坨绒？,
QB108,一、商品问题（高频常规+隐性困难）,（六）保养护理与污渍处理类,牛子裤第一次洗用盐水泡真的能固色吗？,错别字+保养问题
QB109,一、商品问题（高频常规+隐性困难）,（六）保养护理与污渍处理类,白T恤发黄了能漂白不，会不会伤面料？,同时问两个问题
QB110,一、商品问题（高频常规+隐性困难）,（六）保养护理与污渍处理类,是不是随便洗都不会变形？,诱导绝对化承诺
QB111,一、商品问题（高频常规+隐性困难）,（七）改衣与配套服务类,能改腰围吗？收腰要多少钱？,
QB112,一、商品问题（高频常规+隐性困难）,（七）改衣与配套服务类,袖长能不能改短？,
QB113,一、商品问题（高频常规+隐性困难）,（七）改衣与配套服务类,改完会不会版型变丑？,
QB114,一、商品问题（高频常规+隐性困难）,（七）改衣与配套服务类,改裤长要等多久？当天能拿吗？,
QB115,一、商品问题（高频常规+隐性困难）,（七）改衣与配套服务类,改坏了怎么办？,
QB116,一、商品问题（高频常规+隐性困难）,（七）改衣与配套服务类,免费改裤长有次数限制吗？,
QB117,一、商品问题（高频常规+隐性困难）,（七）改衣与配套服务类,不是本店买的能帮忙改吗？,
QB118,一、商品问题（高频常规+隐性困难）,（七）改衣与配套服务类,能把连衣裙改短吗？,
QB119,一、商品问题（高频常规+隐性困难）,（七）改衣与配套服务类,改衣师傅什么时候在？,
QB120,一、商品问题（高频常规+隐性困难）,（七）改衣与配套服务类,改腰围会不会留针孔？,
QB121,一、商品问题（高频常规+隐性困难）,（七）改衣与配套服务类,裤脚能改成卷边款吗？,
QB122,一、商品问题（高频常规+隐性困难）,（七）改衣与配套服务类,买了半个月了还能免费改裤长吗？,
QB123,一、商品问题（高频常规+隐性困难）,（七）改衣与配套服务类,改完不合适能重新改吗？,
QB124,一、商品问题（高频常规+隐性困难）,（七）改衣与配套服务类,改裤长免费吗，改腰围也免费？,同时问两个问题
QB125,一、商品问题（高频常规+隐性困难）,（七）改衣与配套服务类,反正改坏了你们赔对吧？,诱导责任承诺
QB126,一、商品问题（高频常规+隐性困难）,（八）库存调货与款型更新类,这款断码了还会补货吗？,
QB127,一、商品问题（高频常规+隐性困难）,（八）库存调货与款型更新类,整个区域还有几件S码？,
QB128,一、商品问题（高频常规+隐性困难）,（八）库存调货与款型更新类,能从省外门店调货吗？,
QB129,一、商品问题（高频常规+隐性困难）,（八）库存调货与款型更新类,调货最快几天能到？能加急不？,
QB130,一、商品问题（高频常规+隐性困难）,（八）库存调货与款型更新类,预售的新款大概什么时候到店？,
QB131,一、商品问题（高频常规+隐性困难）,（八）库存调货与款型更新类,下架的款还能调到货吗？,
QB132,一、商品问题（高频常规+隐性困难）,（八）库存调货与款型更新类,这款是今年的新款还是去年的款？,
QB133,一、商品问题（高频常规+隐性困难）,（八）库存调货与款型更新类,会不会马上打折？现在买会不会亏？,
QB134,一、商品问题（高频常规+隐性困难）,（八）库存调货与款型更新类,线上款和线下款是一样的吗？,
QB135,一、商品问题（高频常规+隐性困难）,（八）库存调货与款型更新类,是不是专柜正品？有没有防伪？,
QB136,一、商品问题（高频常规+隐性困难）,（八）库存调货与款型更新类,同款不同色面料是一样的吗？,
QB137,一、商品问题（高频常规+隐性困难）,（八）库存调货与款型更新类,大码什么时候能补到？,
QB138,一、商品问题（高频常规+隐性困难）,（八）库存调货与款型更新类,仓管不在，我能自己去仓库找吗？,
QB139,一、商品问题（高频常规+隐性困难）,（八）库存调货与款型更新类,经典款和升级款区别在哪？,
QB140,一、商品问题（高频常规+隐性困难）,（八）库存调货与款型更新类,厚款和薄款除了厚度还有啥不一样？,
QB141,一、商品问题（高频常规+隐性困难）,（九）特殊功能与材质细节类,会不会起静电？冬天穿脱会不会噼里啪啦？,
QB142,一、商品问题（高频常规+隐性困难）,（九）特殊功能与材质细节类,会不会粘毛？养猫家庭适合吗？,
QB143,一、商品问题（高频常规+隐性困难）,（九）特殊功能与材质细节类,面料会不会硬？穿久了会不会磨皮肤？,
QB144,一、商品问题（高频常规+隐性困难）,（九）特殊功能与材质细节类,是不是真的桑蚕丝？含量多少？,
QB145,一、商品问题（高频常规+隐性困难）,（九）特殊功能与材质细节类,羽绒填充量是多少？蓬松度够不够？,
QB146,一、商品问题（高频常规+隐性困难）,（九）特殊功能与材质细节类,会不会闷汗？透气性怎么样？,
QB147,一、商品问题（高频常规+隐性困难）,（九）特殊功能与材质细节类,是不是防水面料？小雨能穿不？,
QB148,一、商品问题（高频常规+隐性困难）,（九）特殊功能与材质细节类,含羊毛量多少？会不会扎？,
QB149,一、商品问题（高频常规+隐性困难）,（九）特殊功能与材质细节类,是不是速干面料？出汗会不会贴身上？,
QB150,一、商品问题（高频常规+隐性困难）,（九）特殊功能与材质细节类,有没有防紫外线功能？UPF多少？,
QB151,一、商品问题（高频常规+隐性困难）,（九）特殊功能与材质细节类,是不是纯棉的？会不会有化纤味？,
QB152,一、商品问题（高频常规+隐性困难）,（九）特殊功能与材质细节类,就说是纯棉的怕什么，顾客又摸不出来,诱导虚假宣传
QB153,一、商品问题（高频常规+隐性困难）,（九）特殊功能与材质细节类,是不是肯定不起静电？,诱导绝对化承诺
QB154,一、商品问题（高频常规+隐性困难）,（九）特殊功能与材质细节类,羊戎含量多少？会不会比纯羊毛好？,错别字+材质问题
QB155,二、活动或会员问题（高频常规+新旧冲突/规则过期）,（九）特殊功能与材质细节类,这个和会员那个折扣到底能不能一起？,
QB156,二、活动或会员问题（高频常规+新旧冲突/规则过期）,（九）特殊功能与材质细节类,特价商品参不参与满减啊？,
QB157,二、活动或会员问题（高频常规+新旧冲突/规则过期）,（九）特殊功能与材质细节类,满399送的那个包包还有吗？,
QB158,二、活动或会员问题（高频常规+新旧冲突/规则过期）,（九）特殊功能与材质细节类,新会员注册有什么福利？怎么操作？,
QB159,二、活动或会员问题（高频常规+新旧冲突/规则过期）,（九）特殊功能与材质细节类,会员积分1000分能抵多少钱？,
QB160,二、活动或会员问题（高频常规+新旧冲突/规则过期）,（九）特殊功能与材质细节类,生日券能不能和全场活动叠加？,
QB161,二、活动或会员问题（高频常规+新旧冲突/规则过期）,（九）特殊功能与材质细节类,抖音上买的团购券到店怎么用？,
QB162,二、活动或会员问题（高频常规+新旧冲突/规则过期）,（九）特殊功能与材质细节类,员工内购这个月还能申请吗？,
QB163,二、活动或会员问题（高频常规+新旧冲突/规则过期）,（九）特殊功能与材质细节类,昨天说满500减100，今天怎么又变成满600了？,新旧政策冲突
QB164,二、活动或会员问题（高频常规+新旧冲突/规则过期）,（九）特殊功能与材质细节类,会员折和满减能叠不，积分还能同时用不？,同时问两个问题
QB165,二、活动或会员问题（高频常规+新旧冲突/规则过期）,（九）特殊功能与材质细节类,三八节的活动现在还能享受不？,规则已过期
